
変数情報		
変数	位置	ラベル
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1cnot10	0	回答なし
	1	子どもはいない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1cl0510	0	回答なし
	1	０～５歳の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1cl1710	0	回答なし
	1	６～１７歳の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1cg1810	0	回答なし
	1	１８歳以上の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1cvy10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1rsmo10	1	受けた（年間３０万円以上）
	2	受けた（年間３０万円未満）
	3	受けなかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1rsad10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1rshe10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1psmo10	1	した（年間３０万円以上）
	2	した（年間３０万円未満）
	3	しなかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1psad10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1pshe10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2sex10	1	男性
	2	女性
	8888	非該当
	9999	無回答
c2plc10	1	同じ建物内（玄関も同じ）（w1）
	2	同じ建物内（玄関は別）（w1）
	3	同じ敷地の別棟（w1）
	4	15分未満（w1）
	5	15分～30分未満（w1）
	6	30分～60分未満（w1）
	7	1時間～3時間未満（w1）
	8	3時間以上（w1）
	9	距離は不明だが別居（追加コード）
	11	一緒に暮らしている（w2-5）
	12	60分未満で行ける場所（w2-5）
	13	60分以上かかる場所（w2-5）
	6666	調査設計上の対象外
	7777	調査期間中に死亡
	8888	非該当
	9999	無回答
c2play10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c2tch10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c2dnr10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c2age10	0	０歳
	1	１歳
	2	２歳
	3	３歳
	4	４歳
	5	５歳
	6	６歳
	7	７歳
	8	８歳
	9	９歳
	10	１０歳
	11	１１歳
	12	１２歳
	13	１３歳
	14	１４歳
	15	１５歳
	16	１６歳
	17	１７歳
	18	１８歳
	19	１９歳
	20	２０歳
	21	２１歳
	22	２２歳
	23	２３歳
	24	２４歳
	25	２５歳
	26	２６歳
	27	２７歳
	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	81	８１歳
	82	８２歳
	83	８３歳
	84	８４歳
	85	８５歳
	86	８６歳
	87	８７歳
	88	８８歳
	89	８９歳
	90	９０歳
	91	９１歳
	92	９２歳
	93	９３歳
	94	９４歳
	95	９５歳
	96	９６歳
	97	９７歳
	98	９８歳
	99	９９歳
	100	１００歳
	101	１０１歳
	102	１０２歳
	103	１０３歳
	104	１０４歳
	105	１０５歳
	106	１０６歳
	107	１０７歳
	108	１０８歳
	109	１０９歳
	110	１１０歳
	111	１１１歳
	112	１１２歳
	113	１１３歳
	114	１１４歳
	115	１１５歳
	116	１１６歳
	117	１１７歳
	118	１１８歳
	119	１１９歳
	120	１２０歳
	8888	非該当
	9999	無回答
c2lt1810	1	１８歳未満
	2	１８歳以上
	8888	非該当
	9999	無回答
c2hvjb10	1	仕事についている
	2	在学中
	3	無職（主婦を含む）
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2mrst10	1	現在、配偶者がいる
	2	離別した
	3	死別した
	4	結婚したことはない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2cnot10	0	回答なし
	1	子どもはいない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2cl0510	0	回答なし
	1	０～５歳の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2cl1710	0	回答なし
	1	６～１７歳の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2cg1810	0	回答なし
	1	１８歳以上の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2cvy10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2rsmo10	1	受けた（年間３０万円以上）
	2	受けた（年間３０万円未満）
	3	受けなかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2rsad10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2rshe10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2psmo10	1	した（年間３０万円以上）
	2	した（年間３０万円未満）
	3	しなかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2psad10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c2pshe10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3sex10	1	男性
	2	女性
	8888	非該当
	9999	無回答
c3plc10	1	同じ建物内（玄関も同じ）（w1）
	2	同じ建物内（玄関は別）（w1）
	3	同じ敷地の別棟（w1）
	4	15分未満（w1）
	5	15分～30分未満（w1）
	6	30分～60分未満（w1）
	7	1時間～3時間未満（w1）
	8	3時間以上（w1）
	9	距離は不明だが別居（追加コード）
	11	一緒に暮らしている（w2-5）
	12	60分未満で行ける場所（w2-5）
	13	60分以上かかる場所（w2-5）
	6666	調査設計上の対象外
	7777	調査期間中に死亡
	8888	非該当
	9999	無回答
c3play10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c3tch10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c3dnr10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c3age10	0	０歳
	1	１歳
	2	２歳
	3	３歳
	4	４歳
	5	５歳
	6	６歳
	7	７歳
	8	８歳
	9	９歳
	10	１０歳
	11	１１歳
	12	１２歳
	13	１３歳
	14	１４歳
	15	１５歳
	16	１６歳
	17	１７歳
	18	１８歳
	19	１９歳
	20	２０歳
	21	２１歳
	22	２２歳
	23	２３歳
	24	２４歳
	25	２５歳
	26	２６歳
	27	２７歳
	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	81	８１歳
	82	８２歳
	83	８３歳
	84	８４歳
	85	８５歳
	86	８６歳
	87	８７歳
	88	８８歳
	89	８９歳
	90	９０歳
	91	９１歳
	92	９２歳
	93	９３歳
	94	９４歳
	95	９５歳
	96	９６歳
	97	９７歳
	98	９８歳
	99	９９歳
	100	１００歳
	101	１０１歳
	102	１０２歳
	103	１０３歳
	104	１０４歳
	105	１０５歳
	106	１０６歳
	107	１０７歳
	108	１０８歳
	109	１０９歳
	110	１１０歳
	111	１１１歳
	112	１１２歳
	113	１１３歳
	114	１１４歳
	115	１１５歳
	116	１１６歳
	117	１１７歳
	118	１１８歳
	119	１１９歳
	120	１２０歳
	8888	非該当
	9999	無回答
c3lt1810	1	１８歳未満
	2	１８歳以上
	8888	非該当
	9999	無回答
c3hvjb10	1	仕事についている
	2	在学中
	3	無職（主婦を含む）
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3mrst10	1	現在、配偶者がいる
	2	離別した
	3	死別した
	4	結婚したことはない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3cnot10	0	回答なし
	1	子どもはいない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3cl0510	0	回答なし
	1	０～５歳の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3cl1710	0	回答なし
	1	６～１７歳の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3cg1810	0	回答なし
	1	１８歳以上の子がいる
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3cvy10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3rsmo10	1	受けた（年間３０万円以上）
	2	受けた（年間３０万円未満）
	3	受けなかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3rsad10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3rshe10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3psmo10	1	した（年間３０万円以上）
	2	した（年間３０万円未満）
	3	しなかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3psad10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c3pshe10	1	あった
	2	なかった
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
fahlth10	1	たいへん良好
	2	まあ良好
	3	どちらともいえない
	4	やや悪い
	5	たいへん悪い
	6	亡くなっている
	9999	無回答
mahlth10	1	たいへん良好
	2	まあ良好
	3	どちらともいえない
	4	やや悪い
	5	たいへん悪い
	6	亡くなっている
	9999	無回答
flhlth10	1	たいへん良好
	2	まあ良好
	3	どちらともいえない
	4	やや悪い
	5	たいへん悪い
	6	亡くなっている
	8888	非該当
	9999	無回答
mlhlth10	1	たいへん良好
	2	まあ良好
	3	どちらともいえない
	4	やや悪い
	5	たいへん悪い
	6	亡くなっている
	8888	非該当
	9999	無回答
hhnlw10	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	9999	無回答
hhlwrp10	0	回答なし
	1	あなた自身
	9999	無回答
hhlwsp10	0	回答なし
	1	あなたの夫・妻（内縁も含む）
	9999	無回答
hhlwch10	0	回答なし
	1	あなたの子ども
	9999	無回答
hhlwfa10	0	回答なし
	1	あなたのお父さん
	9999	無回答
hhlwma10	0	回答なし
	1	あなたのお母さん
	9999	無回答
hhlwfl10	0	回答なし
	1	あなたのお義父さん
	9999	無回答
hhlwml10	0	回答なし
	1	あなたのお義母さん
	9999	無回答
hhlwgp10	0	回答なし
	1	あなたの祖父母
	9999	無回答
hhlwgl10	0	回答なし
	1	配偶者の祖父母
	9999	無回答
hhlwsb10	0	回答なし
	1	あなたの兄姉弟妹
	9999	無回答
hhlwsl10	0	回答なし
	1	配偶者の兄姉弟妹
	9999	無回答
hhlwcs10	0	回答なし
	1	あなたの子どもの夫・妻
	9999	無回答
hhlwgc10	0	回答なし
	1	あなたの孫
	9999	無回答
hhlwo10	0	回答なし
	1	その他
	9999	無回答
rpyinc10	1	収入はなかった
	2	１００万円未満
	3	１００～１２９万円台
	4	１３０～１９９万円台
	5	２００～２９９万円台
	6	３００～３９９万円台
	7	４００～４９９万円台
	8	５００～５９９万円台
	9	６００～６９９万円台
	10	７００～７９９万円台
	11	８００～８９９万円台
	12	９００～９９９万円台
	13	１０００～１０９９万円台
	14	１１００～１１９９万円台
	15	１２００～１２９９万円台
	16	１３００～１３９９万円台
	17	１４００～１４９９万円台
	18	１５００～１５９９万円台
	19	１６００万円以上
	9999	無回答
spyinc10	1	収入はなかった
	2	１００万円未満
	3	１００～１２９万円台
	4	１３０～１９９万円台
	5	２００～２９９万円台
	6	３００～３９９万円台
	7	４００～４９９万円台
	8	５００～５９９万円台
	9	６００～６９９万円台
	10	７００～７９９万円台
	11	８００～８９９万円台
	12	９００～９９９万円台
	13	１０００～１０９９万円台
	14	１１００～１１９９万円台
	15	１２００～１２９９万円台
	16	１３００～１３９９万円台
